Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2324, lat : 0, lon : 0, alt : -20, relative_alt : -25, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 6203, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 5, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6454, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 4, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6703, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 3, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6953, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 2, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7203, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 1, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7453, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7703, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7953, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8203, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8453, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34137}
GLOBAL_POSITION_INT {time_boot_ms : 9203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34285}
GLOBAL_POSITION_INT {time_boot_ms : 9453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34421}
GLOBAL_POSITION_INT {time_boot_ms : 9703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34542}
GLOBAL_POSITION_INT {time_boot_ms : 9953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34659}
GLOBAL_POSITION_INT {time_boot_ms : 10203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34765}
GLOBAL_POSITION_INT {time_boot_ms : 10453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34864}
GLOBAL_POSITION_INT {time_boot_ms : 10704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34953}
GLOBAL_POSITION_INT {time_boot_ms : 10953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35036}
GLOBAL_POSITION_INT {time_boot_ms : 11203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35110}
GLOBAL_POSITION_INT {time_boot_ms : 11453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35178}
GLOBAL_POSITION_INT {time_boot_ms : 11703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35239}
GLOBAL_POSITION_INT {time_boot_ms : 11953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35293}
GLOBAL_POSITION_INT {time_boot_ms : 12203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35342}
GLOBAL_POSITION_INT {time_boot_ms : 12453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35385}
GLOBAL_POSITION_INT {time_boot_ms : 12704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35424}
GLOBAL_POSITION_INT {time_boot_ms : 12953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35458}
GLOBAL_POSITION_INT {time_boot_ms : 13203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35488}
GLOBAL_POSITION_INT {time_boot_ms : 13453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35514}
GLOBAL_POSITION_INT {time_boot_ms : 13703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35537}
GLOBAL_POSITION_INT {time_boot_ms : 13953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35557}
GLOBAL_POSITION_INT {time_boot_ms : 14203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35575}
GLOBAL_POSITION_INT {time_boot_ms : 14453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35589}
GLOBAL_POSITION_INT {time_boot_ms : 14703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35603}
GLOBAL_POSITION_INT {time_boot_ms : 14954, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35614}
GLOBAL_POSITION_INT {time_boot_ms : 15203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35625}
GLOBAL_POSITION_INT {time_boot_ms : 15453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35632}
GLOBAL_POSITION_INT {time_boot_ms : 15703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35640}
GLOBAL_POSITION_INT {time_boot_ms : 15953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35645}
GLOBAL_POSITION_INT {time_boot_ms : 16203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35650}
GLOBAL_POSITION_INT {time_boot_ms : 16453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35654}
GLOBAL_POSITION_INT {time_boot_ms : 16703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35658}
GLOBAL_POSITION_INT {time_boot_ms : 16954, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35660}
GLOBAL_POSITION_INT {time_boot_ms : 17203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35662}
GLOBAL_POSITION_INT {time_boot_ms : 17453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35662}
GLOBAL_POSITION_INT {time_boot_ms : 17703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35663}
GLOBAL_POSITION_INT {time_boot_ms : 17953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35663}
GLOBAL_POSITION_INT {time_boot_ms : 18203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35663}
GLOBAL_POSITION_INT {time_boot_ms : 18453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35662}
GLOBAL_POSITION_INT {time_boot_ms : 18703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -14, vx : 0, vy : 0, vz : 0, hdg : 35662}
GLOBAL_POSITION_INT {time_boot_ms : 18954, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -6, vx : 0, vy : 0, vz : 0, hdg : 35660}
GLOBAL_POSITION_INT {time_boot_ms : 19203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -5, vx : 0, vy : 0, vz : 0, hdg : 35659}
GLOBAL_POSITION_INT {time_boot_ms : 19453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -6, vx : 0, vy : 0, vz : 0, hdg : 35657}
GLOBAL_POSITION_INT {time_boot_ms : 19703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -8, vx : 0, vy : 0, vz : 0, hdg : 35656}
GLOBAL_POSITION_INT {time_boot_ms : 19953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -10, vx : 0, vy : 0, vz : 0, hdg : 35653}
GLOBAL_POSITION_INT {time_boot_ms : 20203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -12, vx : 0, vy : 0, vz : 0, hdg : 35652}
GLOBAL_POSITION_INT {time_boot_ms : 20453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -14, vx : 0, vy : 0, vz : 0, hdg : 35649}
GLOBAL_POSITION_INT {time_boot_ms : 20703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -16, vx : 0, vy : 0, vz : 0, hdg : 35648}
GLOBAL_POSITION_INT {time_boot_ms : 20953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -17, vx : 0, vy : 0, vz : 0, hdg : 35645}
GLOBAL_POSITION_INT {time_boot_ms : 21204, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -18, vx : 0, vy : 0, vz : 0, hdg : 35643}
GLOBAL_POSITION_INT {time_boot_ms : 21453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -19, vx : 0, vy : 0, vz : 0, hdg : 35640}
GLOBAL_POSITION_INT {time_boot_ms : 21703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -20, vx : 0, vy : 1, vz : 0, hdg : 35638}
GLOBAL_POSITION_INT {time_boot_ms : 21953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -21, vx : 0, vy : 1, vz : 0, hdg : 35635}
GLOBAL_POSITION_INT {time_boot_ms : 22203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -22, vx : 0, vy : 1, vz : 0, hdg : 35633}
GLOBAL_POSITION_INT {time_boot_ms : 22453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -23, vx : -1, vy : 1, vz : 0, hdg : 35630}
GLOBAL_POSITION_INT {time_boot_ms : 22703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -23, vx : -1, vy : 1, vz : 0, hdg : 35627}
GLOBAL_POSITION_INT {time_boot_ms : 22953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35624}
GLOBAL_POSITION_INT {time_boot_ms : 23204, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35622}
GLOBAL_POSITION_INT {time_boot_ms : 23453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35619}
GLOBAL_POSITION_INT {time_boot_ms : 23703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35617}
GLOBAL_POSITION_INT {time_boot_ms : 23953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35614}
GLOBAL_POSITION_INT {time_boot_ms : 24203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35612}
GLOBAL_POSITION_INT {time_boot_ms : 24453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35609}
GLOBAL_POSITION_INT {time_boot_ms : 24703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35606}
GLOBAL_POSITION_INT {time_boot_ms : 24953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35603}
GLOBAL_POSITION_INT {time_boot_ms : 25204, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35601}
GLOBAL_POSITION_INT {time_boot_ms : 25453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35598}
GLOBAL_POSITION_INT {time_boot_ms : 25703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35596}
GLOBAL_POSITION_INT {time_boot_ms : 25953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35593}
GLOBAL_POSITION_INT {time_boot_ms : 26203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35591}
GLOBAL_POSITION_INT {time_boot_ms : 26453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35588}
GLOBAL_POSITION_INT {time_boot_ms : 26703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35586}
GLOBAL_POSITION_INT {time_boot_ms : 26953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35583}
GLOBAL_POSITION_INT {time_boot_ms : 27203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35581}
GLOBAL_POSITION_INT {time_boot_ms : 27454, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35578}
GLOBAL_POSITION_INT {time_boot_ms : 27703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35576}
GLOBAL_POSITION_INT {time_boot_ms : 27953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35574}
GLOBAL_POSITION_INT {time_boot_ms : 28203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35572}
GLOBAL_POSITION_INT {time_boot_ms : 28453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35569}
GLOBAL_POSITION_INT {time_boot_ms : 28703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35567}
GLOBAL_POSITION_INT {time_boot_ms : 28953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35565}
GLOBAL_POSITION_INT {time_boot_ms : 29203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35563}
GLOBAL_POSITION_INT {time_boot_ms : 29454, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35560}
GLOBAL_POSITION_INT {time_boot_ms : 29703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35559}
GLOBAL_POSITION_INT {time_boot_ms : 29953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : -1, vy : 1, vz : 0, hdg : 35556}
GLOBAL_POSITION_INT {time_boot_ms : 30203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35554}
GLOBAL_POSITION_INT {time_boot_ms : 30453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35552}
GLOBAL_POSITION_INT {time_boot_ms : 30703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35550}
GLOBAL_POSITION_INT {time_boot_ms : 30953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35548}
GLOBAL_POSITION_INT {time_boot_ms : 31203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35546}
GLOBAL_POSITION_INT {time_boot_ms : 31454, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35544}
GLOBAL_POSITION_INT {time_boot_ms : 31703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35542}
GLOBAL_POSITION_INT {time_boot_ms : 31953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35540}
GLOBAL_POSITION_INT {time_boot_ms : 32203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35539}
GLOBAL_POSITION_INT {time_boot_ms : 32453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35537}
GLOBAL_POSITION_INT {time_boot_ms : 32703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35535}
GLOBAL_POSITION_INT {time_boot_ms : 32953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35533}
GLOBAL_POSITION_INT {time_boot_ms : 33203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35531}
GLOBAL_POSITION_INT {time_boot_ms : 33453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -26, vx : -1, vy : 2, vz : 0, hdg : 35529}
GLOBAL_POSITION_INT {time_boot_ms : 33704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35528}
GLOBAL_POSITION_INT {time_boot_ms : 33953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35526}
GLOBAL_POSITION_INT {time_boot_ms : 34203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35524}
GLOBAL_POSITION_INT {time_boot_ms : 34453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35522}
GLOBAL_POSITION_INT {time_boot_ms : 34703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35521}
GLOBAL_POSITION_INT {time_boot_ms : 34953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35519}
GLOBAL_POSITION_INT {time_boot_ms : 35203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35517}
GLOBAL_POSITION_INT {time_boot_ms : 35453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35516}
GLOBAL_POSITION_INT {time_boot_ms : 35704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35514}
GLOBAL_POSITION_INT {time_boot_ms : 35953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35512}
GLOBAL_POSITION_INT {time_boot_ms : 36203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35511}
GLOBAL_POSITION_INT {time_boot_ms : 36453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35509}
GLOBAL_POSITION_INT {time_boot_ms : 36703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35508}
GLOBAL_POSITION_INT {time_boot_ms : 36953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35506}
GLOBAL_POSITION_INT {time_boot_ms : 37203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35505}
GLOBAL_POSITION_INT {time_boot_ms : 37453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35503}
GLOBAL_POSITION_INT {time_boot_ms : 37704, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35502}
GLOBAL_POSITION_INT {time_boot_ms : 37953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35501}
GLOBAL_POSITION_INT {time_boot_ms : 38203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35499}
GLOBAL_POSITION_INT {time_boot_ms : 38453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35498}
GLOBAL_POSITION_INT {time_boot_ms : 38703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35497}
GLOBAL_POSITION_INT {time_boot_ms : 38953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35495}
GLOBAL_POSITION_INT {time_boot_ms : 39203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35494}
GLOBAL_POSITION_INT {time_boot_ms : 39453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35492}
GLOBAL_POSITION_INT {time_boot_ms : 39703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35491}
GLOBAL_POSITION_INT {time_boot_ms : 39954, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35490}
GLOBAL_POSITION_INT {time_boot_ms : 40203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35489}
GLOBAL_POSITION_INT {time_boot_ms : 40453, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35487}
GLOBAL_POSITION_INT {time_boot_ms : 40703, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35486}
GLOBAL_POSITION_INT {time_boot_ms : 40953, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35485}
GLOBAL_POSITION_INT {time_boot_ms : 41203, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -2, vy : 2, vz : 0, hdg : 35484}
GLOBAL_POSITION_INT {time_boot_ms : 41453, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -25, vx : 0, vy : 0, vz : 0, hdg : 35482}
GLOBAL_POSITION_INT {time_boot_ms : 41703, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -25, vx : 0, vy : 0, vz : 0, hdg : 35481}
GLOBAL_POSITION_INT {time_boot_ms : 41954, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : 0, vy : 0, vz : 0, hdg : 35480}
GLOBAL_POSITION_INT {time_boot_ms : 42203, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : 0, vy : 0, vz : 0, hdg : 35479}
GLOBAL_POSITION_INT {time_boot_ms : 42453, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : 0, vy : 0, vz : 0, hdg : 35477}
GLOBAL_POSITION_INT {time_boot_ms : 42703, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : 0, vy : 1, vz : 0, hdg : 35476}
GLOBAL_POSITION_INT {time_boot_ms : 42953, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -26, vx : -1, vy : 1, vz : 0, hdg : 35475}
