Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2297, lat : 0, lon : 0, alt : 0, relative_alt : 0, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 15444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35631}
GLOBAL_POSITION_INT {time_boot_ms : 15694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35637}
GLOBAL_POSITION_INT {time_boot_ms : 15944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35643}
GLOBAL_POSITION_INT {time_boot_ms : 16194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35647}
GLOBAL_POSITION_INT {time_boot_ms : 16444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35651}
GLOBAL_POSITION_INT {time_boot_ms : 16694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35653}
GLOBAL_POSITION_INT {time_boot_ms : 16944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35655}
GLOBAL_POSITION_INT {time_boot_ms : 17194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35656}
GLOBAL_POSITION_INT {time_boot_ms : 17444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35657}
GLOBAL_POSITION_INT {time_boot_ms : 17694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35658}
GLOBAL_POSITION_INT {time_boot_ms : 17944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35658}
GLOBAL_POSITION_INT {time_boot_ms : 18194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35657}
GLOBAL_POSITION_INT {time_boot_ms : 18444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 35657}
GLOBAL_POSITION_INT {time_boot_ms : 18694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -15, vx : 0, vy : 0, vz : 0, hdg : 35655}
GLOBAL_POSITION_INT {time_boot_ms : 18944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -7, vx : 0, vy : 0, vz : 0, hdg : 35655}
GLOBAL_POSITION_INT {time_boot_ms : 19194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -5, vx : 0, vy : 0, vz : 0, hdg : 35653}
GLOBAL_POSITION_INT {time_boot_ms : 19444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -6, vx : 0, vy : 0, vz : 0, hdg : 35651}
GLOBAL_POSITION_INT {time_boot_ms : 19694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -7, vx : 0, vy : 0, vz : 0, hdg : 35649}
GLOBAL_POSITION_INT {time_boot_ms : 19944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -9, vx : 0, vy : 0, vz : 0, hdg : 35648}
GLOBAL_POSITION_INT {time_boot_ms : 20194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -11, vx : 0, vy : 0, vz : 0, hdg : 35645}
GLOBAL_POSITION_INT {time_boot_ms : 20444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -13, vx : 0, vy : 0, vz : 0, hdg : 35643}
GLOBAL_POSITION_INT {time_boot_ms : 20694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -14, vx : 0, vy : 0, vz : 0, hdg : 35641}
GLOBAL_POSITION_INT {time_boot_ms : 20944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -16, vx : 0, vy : 0, vz : 0, hdg : 35639}
GLOBAL_POSITION_INT {time_boot_ms : 21194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -17, vx : 0, vy : 0, vz : 0, hdg : 35636}
GLOBAL_POSITION_INT {time_boot_ms : 21444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -18, vx : 0, vy : 0, vz : 0, hdg : 35634}
GLOBAL_POSITION_INT {time_boot_ms : 21694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -19, vx : 0, vy : 1, vz : 0, hdg : 35631}
GLOBAL_POSITION_INT {time_boot_ms : 21944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -20, vx : 0, vy : 1, vz : 0, hdg : 35629}
GLOBAL_POSITION_INT {time_boot_ms : 22194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -20, vx : 0, vy : 1, vz : 0, hdg : 35626}
GLOBAL_POSITION_INT {time_boot_ms : 22444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -21, vx : 0, vy : 1, vz : 0, hdg : 35624}
GLOBAL_POSITION_INT {time_boot_ms : 22694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -22, vx : 0, vy : 1, vz : 0, hdg : 35621}
GLOBAL_POSITION_INT {time_boot_ms : 22944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -22, vx : 0, vy : 1, vz : 0, hdg : 35619}
GLOBAL_POSITION_INT {time_boot_ms : 23194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -22, vx : 0, vy : 1, vz : 0, hdg : 35616}
GLOBAL_POSITION_INT {time_boot_ms : 23444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -23, vx : 0, vy : 1, vz : 0, hdg : 35614}
GLOBAL_POSITION_INT {time_boot_ms : 23694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -23, vx : -1, vy : 1, vz : 0, hdg : 35611}
GLOBAL_POSITION_INT {time_boot_ms : 23944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35609}
GLOBAL_POSITION_INT {time_boot_ms : 24194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35606}
GLOBAL_POSITION_INT {time_boot_ms : 24444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35603}
GLOBAL_POSITION_INT {time_boot_ms : 24694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35600}
GLOBAL_POSITION_INT {time_boot_ms : 24944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35598}
GLOBAL_POSITION_INT {time_boot_ms : 25194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35595}
GLOBAL_POSITION_INT {time_boot_ms : 25444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35593}
GLOBAL_POSITION_INT {time_boot_ms : 25694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35590}
GLOBAL_POSITION_INT {time_boot_ms : 25944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35588}
GLOBAL_POSITION_INT {time_boot_ms : 26194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35585}
GLOBAL_POSITION_INT {time_boot_ms : 26444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35583}
GLOBAL_POSITION_INT {time_boot_ms : 26694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35580}
GLOBAL_POSITION_INT {time_boot_ms : 26944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35577}
GLOBAL_POSITION_INT {time_boot_ms : 27194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35575}
GLOBAL_POSITION_INT {time_boot_ms : 27444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35573}
GLOBAL_POSITION_INT {time_boot_ms : 27694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35570}
GLOBAL_POSITION_INT {time_boot_ms : 27944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35568}
GLOBAL_POSITION_INT {time_boot_ms : 28194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35566}
GLOBAL_POSITION_INT {time_boot_ms : 28444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35563}
GLOBAL_POSITION_INT {time_boot_ms : 28694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35561}
GLOBAL_POSITION_INT {time_boot_ms : 28944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35559}
GLOBAL_POSITION_INT {time_boot_ms : 29194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35557}
GLOBAL_POSITION_INT {time_boot_ms : 29444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35555}
GLOBAL_POSITION_INT {time_boot_ms : 29694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 1, vz : 0, hdg : 35552}
GLOBAL_POSITION_INT {time_boot_ms : 29944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35550}
GLOBAL_POSITION_INT {time_boot_ms : 30194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -25, vx : -1, vy : 2, vz : 0, hdg : 35548}
GLOBAL_POSITION_INT {time_boot_ms : 30444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35546}
GLOBAL_POSITION_INT {time_boot_ms : 30694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35544}
GLOBAL_POSITION_INT {time_boot_ms : 30944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35542}
GLOBAL_POSITION_INT {time_boot_ms : 31194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35540}
GLOBAL_POSITION_INT {time_boot_ms : 31444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35538}
GLOBAL_POSITION_INT {time_boot_ms : 31694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35536}
GLOBAL_POSITION_INT {time_boot_ms : 31944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35534}
GLOBAL_POSITION_INT {time_boot_ms : 32194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35532}
GLOBAL_POSITION_INT {time_boot_ms : 32444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35530}
GLOBAL_POSITION_INT {time_boot_ms : 32694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35528}
GLOBAL_POSITION_INT {time_boot_ms : 32944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35527}
GLOBAL_POSITION_INT {time_boot_ms : 33194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35525}
GLOBAL_POSITION_INT {time_boot_ms : 33444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35523}
GLOBAL_POSITION_INT {time_boot_ms : 33694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35521}
GLOBAL_POSITION_INT {time_boot_ms : 33944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35520}
GLOBAL_POSITION_INT {time_boot_ms : 34194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35518}
GLOBAL_POSITION_INT {time_boot_ms : 34444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35516}
GLOBAL_POSITION_INT {time_boot_ms : 34694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35514}
GLOBAL_POSITION_INT {time_boot_ms : 34944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -1, vy : 2, vz : 0, hdg : 35513}
GLOBAL_POSITION_INT {time_boot_ms : 35194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35511}
GLOBAL_POSITION_INT {time_boot_ms : 35444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35510}
GLOBAL_POSITION_INT {time_boot_ms : 35694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35508}
GLOBAL_POSITION_INT {time_boot_ms : 35944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35507}
GLOBAL_POSITION_INT {time_boot_ms : 36194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35505}
GLOBAL_POSITION_INT {time_boot_ms : 36444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35503}
GLOBAL_POSITION_INT {time_boot_ms : 36694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35502}
GLOBAL_POSITION_INT {time_boot_ms : 36944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35501}
GLOBAL_POSITION_INT {time_boot_ms : 37194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35499}
GLOBAL_POSITION_INT {time_boot_ms : 37444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35498}
GLOBAL_POSITION_INT {time_boot_ms : 37694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35497}
GLOBAL_POSITION_INT {time_boot_ms : 37944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35495}
GLOBAL_POSITION_INT {time_boot_ms : 38194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35494}
GLOBAL_POSITION_INT {time_boot_ms : 38444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35493}
GLOBAL_POSITION_INT {time_boot_ms : 38694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35491}
GLOBAL_POSITION_INT {time_boot_ms : 38944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35490}
GLOBAL_POSITION_INT {time_boot_ms : 39194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35488}
GLOBAL_POSITION_INT {time_boot_ms : 39444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35487}
GLOBAL_POSITION_INT {time_boot_ms : 39694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35486}
GLOBAL_POSITION_INT {time_boot_ms : 39944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35485}
GLOBAL_POSITION_INT {time_boot_ms : 40194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35483}
GLOBAL_POSITION_INT {time_boot_ms : 40444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35482}
GLOBAL_POSITION_INT {time_boot_ms : 40694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35481}
GLOBAL_POSITION_INT {time_boot_ms : 40944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35480}
GLOBAL_POSITION_INT {time_boot_ms : 41194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -24, vx : -2, vy : 2, vz : 0, hdg : 35478}
GLOBAL_POSITION_INT {time_boot_ms : 41444, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 0, vz : 0, hdg : 35477}
GLOBAL_POSITION_INT {time_boot_ms : 41694, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 0, vz : 0, hdg : 35476}
GLOBAL_POSITION_INT {time_boot_ms : 41944, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 0, vz : 0, hdg : 35475}
GLOBAL_POSITION_INT {time_boot_ms : 42194, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 0, vz : 0, hdg : 35474}
GLOBAL_POSITION_INT {time_boot_ms : 42444, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 0, vz : 0, hdg : 35473}
GLOBAL_POSITION_INT {time_boot_ms : 42694, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : 0, vy : 1, vz : 0, hdg : 35471}
GLOBAL_POSITION_INT {time_boot_ms : 42944, lat : -353632621, lon : 1491652374, alt : 584060, relative_alt : -24, vx : -1, vy : 1, vz : 0, hdg : 35470}
